RCA,Pumice,Cement,Packing,,,,,,,,,,
0.45 ,0.05 ,0.50 , 0.749 ,,,,,,,,,,
0.45 ,0.10 ,0.45 , 0.767 ,,,,,,,,,,
0.45 ,0.15 ,0.40 , 0.787 ,,,,,,,,,,
0.45 ,0.20 ,0.35 , 0.807 ,,,,,,,,,,
0.45 ,0.25 ,0.30 , 0.829 ,,,,,,,,,,
0.45 ,0.30 ,0.25 , 0.852 ,,,,,,,,,,
0.45 ,0.35 ,0.20 , 0.868 ,,,,,,,,,,
0.45 ,0.40 ,0.15 , 0.817 ,,,,,,,,,,
0.45 ,0.45 ,0.10 , 0.772 ,,,,,,,,,,
0.45 ,0.50 ,0.05 , 0.732 ,,,,,,,,,,
0.45 ,0.55 ,0.00 , 0.695 ,,,,,,,,,,
0.50 ,0.00 ,0.50 , 0.749 ,,,,,,,,,,
0.50 ,0.05 ,0.45 , 0.768 ,,,,,,,,,,
0.50 ,0.10 ,0.40 , 0.787 ,,,,,,,,,,
0.50 ,0.15 ,0.35 , 0.808 ,,,,,,,,,,
0.50 ,0.20 ,0.30 , 0.829 ,,,,,,,,,,
0.50 ,0.25 ,0.25 , 0.852 ,,,,,,,,,,
0.50 ,0.30 ,0.20 , 0.876 ,,,,,,,,,,
0.50 ,0.35 ,0.15 , 0.834 ,,,,,,,,,,
0.50 ,0.40 ,0.10 , 0.787 ,,,,,,,,,,
0.50 ,0.45 ,0.05 , 0.745 ,,,,,,,,,,
0.50 ,0.50 ,0.00 , 0.708 ,,,,,,,,,,
0.55 ,0.00 ,0.45 , 0.768 ,,,,,,,,,,
0.55 ,0.05 ,0.40 , 0.788 ,,,,,,,,,,
0.55 ,0.10 ,0.35 , 0.808 ,,,,,,,,,,
0.55 ,0.15 ,0.30 , 0.830 ,,,,,,,,,,
0.55 ,0.20 ,0.25 , 0.853 ,,,,,,,,,,
0.55 ,0.25 ,0.20 , 0.877 ,,,,,,,,,,
0.55 ,0.30 ,0.15 , 0.852 ,,,,,,,,,,
0.55 ,0.35 ,0.10 , 0.803 ,,,,,,,,,,
0.55 ,0.40 ,0.05 , 0.760 ,,,,,,,,,,
0.55 ,0.45 ,0.00 , 0.721 ,,,,,,,,,,
0.60 ,0.00 ,0.40 , 0.788 ,,,,,,,,,,
0.60 ,0.05 ,0.35 , 0.809 ,,,,,,,,,,
0.60 ,0.10 ,0.30 , 0.831 ,,,,,,,,,,
0.60 ,0.15 ,0.25 , 0.853 ,,,,,,,,,,
0.60 ,0.20 ,0.20 , 0.864 ,,,,,,,,,,
0.60 ,0.25 ,0.15 , 0.843 ,,,,,,,,,,
0.60 ,0.30 ,0.10 , 0.820 ,,,,,,,,,,
0.60 ,0.35 ,0.05 , 0.775 ,,,,,,,,,,
0.60 ,0.40 ,0.00 , 0.734 ,,,,,,,,,,
0.65 ,0.00 ,0.35 , 0.809 ,,,,,,,,,,
0.65 ,0.05 ,0.30 , 0.831 ,,,,,,,,,,
0.65 ,0.10 ,0.25 , 0.850 ,,,,,,,,,,
0.65 ,0.15 ,0.20 , 0.829 ,,,,,,,,,,
0.65 ,0.20 ,0.15 , 0.810 ,,,,,,,,,,
0.65 ,0.25 ,0.10 , 0.791 ,,,,,,,,,,
0.65 ,0.30 ,0.05 , 0.773 ,,,,,,,,,,
0.65 ,0.35 ,0.00 , 0.748 ,,,,,,,,,,
0.70 ,0.00 ,0.30 , 0.832 ,,,,,,,,,,
0.70 ,0.05 ,0.25 , 0.816 ,,,,,,,,,,
0.70 ,0.10 ,0.20 , 0.797 ,,,,,,,,,,
0.70 ,0.15 ,0.15 , 0.779 ,,,,,,,,,,
0.70 ,0.20 ,0.10 , 0.761 ,,,,,,,,,,
0.70 ,0.25 ,0.05 , 0.745 ,,,,,,,,,,
0.70 ,0.30 ,0.00 , 0.729 ,,,,,,,,,,
0.75 ,0.00 ,0.25 , 0.785 ,,,,,,,,,,
0.75 ,0.05 ,0.20 , 0.767 ,,,,,,,,,,
0.75 ,0.10 ,0.15 , 0.750 ,,,,,,,,,,
0.75 ,0.15 ,0.10 , 0.734 ,,,,,,,,,,
0.75 ,0.20 ,0.05 , 0.718 ,,,,,,,,,,
